ID,title,location,salary,description
41ea54433e19de67,소프트웨어/머신러닝 엔지니어 및 Bioinformatics and Proteomics Researcher,서울 강남구,"연봉 40,000,000원 - 120,000,000원","전문가들과 단백질체학관련 공동연구 진행자격요건- 프로그래밍 언어에 대한 높은 이해도를 가지신 분, 특히 Python- AWS, Azure, GCP 등 Cloud 기반 환경에서 개발 경험이 있으신 분- Data pipeline..."
c19a535518b1512c,[경력직 ] 리서치본부 인덱스개발팀,서울 영등포구,,숙자 인터넷·IT·통신·모바일·게임>데이터베이스·DBA>DBA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어|인터넷·IT·통신·모바일·게임>전산·IT기술...
e7c8c2b11f24fb43,Software Engineer,서울,,"languages, including... limited to: C++, Java, C and Python. Excellent written and verbal communication skills. About..."
bb3dd73bc58c31af,[진행중] 우리은행 빅데이터사업부 전문직(데이터사이언티스트-분석) 채용공고,서울 회현동,,"공학)/수학/통계 관련 전공자 - 금융 분야 또는 B2C 서비스, 플랫폼 운영/기획 경험 보유자 - Python/R/Java 등 분석 및 프로그래밍 언어 사용 경험자 - 은행 등 금융권 데이터 기획/운영/PM 관련..."
74e9e085e30343c3,SW개발 채용(9월),서울,,"관련 기술 보유 - C/C++, Python 가능, Verilog-HDL... 대한 이해 - tensorflow 또는 pytorch, python 개발 경험 우대사항 - python기반 ML라이브러리(Scikit-learn..."
441d45a99d2ff14d,"[데이터 분석가, 데이터 사이언티스트 (신입/경력)]",서울 성동구,,"Data 분석관련 알고리즘에 대한 이해를 바탕으로 실Data 기반 분석 경험 및 분석가능 능력ㆍSQL, Python 등의 통계 및 분석 능력ㆍ적극적이고 긍정적인 마인드를 가지신 분 인터넷·IT·통신·모바일·게임>빅데이터..."
1874aaee481880be,클라우드 오퍼레이션 엔지니어,성남 판교역,,"Linux, Windows Server 트러블 슈팅 숙련자 - 2년 이상의 개발 경험자(PHP, Python 등) - 아래 기술 분야중 1개 이상의 풍부한 지식 및 운영 경험 보유자 (ElasticSearch..."
f54bac6c78fd3240,코딩에 빠진 수퍼 개발자 (펌웨어 개발),성남 수정구,,"학력무관직무기술: 펌웨어(Firmware), Embedded System S/W 개발(판교) c/c++, Python 3 명 근무조건 고용형태: 정규직근무부서: 개발팀급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단..."
4c954b7900653d78,각 부문별,대한민국,,"계학, 수학 및 경상계열 전공자 - 프로그래밍 가능자(MSOffice/ Python/SQL 등) - 금융관련 자격증 보유자 - 금융기관 관련업무 유경험... 가능자 (C/C++, VBA, Python 등) 4. 관련 업무 유경험자..."
d17da0baecf05910,데이터 분야 경력,서울,,"해가 뛰어난 자 - R, Python, SAS, SQL 등 활용 역량 우대사항(해당 내용 중 1개 이상) - ML/DL 경험 인력 우대 - 관련 분야 석사 이상 학위 소지자 우대 - R, Python등 데이터분석 모델링 경험..."
e72d21cb674081a8,Python 웹개발자,서울 중구,,"지원자격 경력 경력 (5년이상) 학력 학력무관 성별 무관 기타 담당업무 Python 웹개발자 채용 커리어 양식 지원 상세모집요강 접수기간/방법 시작... 직종) 웹프로그래머웹프로그래머, Python 응용프로그래머전산전공 HTML..."
216ecb2e2e37dd0d,[KSTEC] 통계/Analytics 신입 및 경력사원,성남 분당구,,"지능화 (의사결정 자동화) 시스템 개발 (SPSS, SAS, R, Python, Java 기반)2. 기업용 데이터과학 & 인공지능 플랫폼 솔루션3... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
95fcfab87b9906bd,Job Posting Title Deep Learning Researcher,서울,,"network 등) Deep Learning 방법론에 대한 데모 프로그램 제작 및 제품화 코드 작성( Python / C++) 다양한 종류의 제조업 이미지 데이터에 대한 탐색, 분석 및 전처리 모듈 구현 최신 Deep..."
